x=590, y=1059, w=7, h=3
x=283, y=1059, w=1, h=3
x=142, y=1059, w=4, h=3
x=647, y=1058, w=4, h=3
x=525, y=1058, w=5, h=3
x=317, y=1056, w=7, h=5
x=236, y=1056, w=2, h=6
x=233, y=1056, w=2, h=6
x=19, y=1055, w=6, h=7
x=760, y=1054, w=4, h=2
x=613, y=1053, w=6, h=6
x=520, y=1053, w=3, h=7
x=152, y=1053, w=4, h=7
x=33, y=1053, w=8, h=7
x=300, y=1052, w=6, h=4
x=26, y=1052, w=7, h=10
x=279, y=1051, w=10, h=11
x=281, y=1052, w=4, h=4
x=279, y=1052, w=3, h=3
x=672, y=1049, w=13, h=10
x=571, y=1049, w=24, h=12
x=883, y=1048, w=13, h=9
x=638, y=1048, w=35, h=14
x=370, y=1048, w=7, h=11
x=372, y=1048, w=5, h=4
x=740, y=1047, w=10, h=14
x=633, y=1047, w=7, h=7
x=273, y=1047, w=5, h=5
x=273, y=1047, w=4, h=5
x=176, y=1046, w=20, h=8
x=176, y=1049, w=6, h=5
x=180, y=1047, w=15, h=7
x=776, y=1045, w=11, h=5
x=397, y=1045, w=7, h=4
x=745, y=1044, w=3, h=9
x=578, y=1044, w=11, h=10
x=494, y=1044, w=12, h=6
x=553, y=1043, w=11, h=13
x=392, y=1043, w=8, h=3
x=169, y=1043, w=5, h=2
x=1019, y=1042, w=7, h=7
x=1019, y=1042, w=7, h=7
x=723, y=1042, w=10, h=10
x=674, y=1041, w=48, h=21
x=607, y=1040, w=12, h=7
x=608, y=1040, w=10, h=7
x=351, y=1040, w=3, h=2
x=287, y=1040, w=6, h=5
x=208, y=1040, w=9, h=14
x=764, y=1039, w=17, h=9
x=405, y=1039, w=3, h=5
x=405, y=1040, w=3, h=4
x=388, y=1039, w=16, h=5
x=332, y=1039, w=3, h=10
x=167, y=1039, w=8, h=4
x=747, y=1038, w=6, h=18
x=222, y=1038, w=22, h=18
x=224, y=1052, w=4, h=4
x=240, y=1044, w=4, h=3
x=226, y=1039, w=10, h=14
x=793, y=1037, w=4, h=3
x=752, y=1037, w=22, h=24
x=645, y=1036, w=8, h=18
x=440, y=1036, w=8, h=9
x=442, y=1037, w=3, h=8
x=197, y=1035, w=2, h=5
x=102, y=1035, w=5, h=10
x=102, y=1035, w=2, h=5
x=475, y=1034, w=5, h=2
x=458, y=1034, w=7, h=6
x=651, y=1033, w=8, h=22
x=535, y=1032, w=7, h=7
x=537, y=1033, w=3, h=3
x=536, y=1032, w=3, h=3
x=476, y=1032, w=6, h=1
x=352, y=1032, w=4, h=6
x=732, y=1031, w=1, h=4
x=474, y=1031, w=1, h=2
x=412, y=1031, w=5, h=14
x=619, y=1030, w=8, h=13
x=620, y=1030, w=5, h=6
x=747, y=1029, w=4, h=6
x=294, y=1029, w=18, h=8
x=788, y=1028, w=3, h=5
x=785, y=1028, w=4, h=6
x=712, y=1028, w=5, h=8
x=467, y=1028, w=8, h=13
x=371, y=1028, w=4, h=4
x=371, y=1028, w=3, h=3
x=769, y=1027, w=7, h=9
x=773, y=1032, w=3, h=4
x=455, y=1027, w=7, h=11
x=456, y=1027, w=5, h=7
x=630, y=1026, w=20, h=15
x=550, y=1026, w=13, h=12
x=557, y=1031, w=6, h=7
x=550, y=1029, w=5, h=6
x=179, y=1026, w=8, h=4
x=184, y=1026, w=3, h=3
x=179, y=1026, w=6, h=4
x=159, y=1026, w=19, h=5
x=159, y=1026, w=4, h=5
x=564, y=1025, w=8, h=14
x=1018, y=1024, w=8, h=5
x=505, y=1024, w=17, h=8
x=395, y=1024, w=3, h=5
x=188, y=1024, w=6, h=5
x=188, y=1025, w=6, h=4
x=756, y=1023, w=15, h=20
x=766, y=1035, w=5, h=5
x=747, y=1023, w=7, h=8
x=647, y=1022, w=8, h=8
x=476, y=1022, w=5, h=6
x=444, y=1022, w=7, h=13
x=447, y=1024, w=3, h=4
x=336, y=1022, w=11, h=10
x=337, y=1026, w=3, h=4
x=838, y=1021, w=3, h=5
x=434, y=1021, w=11, h=6
x=353, y=1021, w=3, h=1
x=128, y=1021, w=10, h=8
x=131, y=1023, w=3, h=5
x=133, y=1022, w=4, h=5
x=128, y=1021, w=5, h=8
x=116, y=1021, w=4, h=3
x=1222, y=1020, w=5, h=5
x=697, y=1019, w=17, h=25
x=708, y=1033, w=6, h=6
x=657, y=1019, w=16, h=31
x=641, y=1019, w=5, h=11
x=603, y=1019, w=27, h=15
x=323, y=1019, w=7, h=8
x=324, y=1022, w=5, h=5
x=302, y=1019, w=9, h=9
x=750, y=1018, w=7, h=12
x=673, y=1018, w=3, h=1
x=578, y=1018, w=55, h=36
x=586, y=1039, w=4, h=4
